,id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,timestamp
0,1,Bitcoin,BTC,bitcoin,11132,2010-07-13T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'bitcoin-ecosystem', 'ftx-bankruptcy-estate']",21000000.0,19715268.0,19715268.0,False,,1,,,,2024-06-22T10:15:00.000Z,64300.89444644993,20946417808.41305,-21.692,0.05888842,0.59110106,-2.80203864,-7.7506005,-2.79455597,-0.97111394,1267709366651.472,54.1314,1350318783375.45,,2024-06-22T10:15:00.000Z,,,,,,2024-06-22 12:16:09.399649
1,1027,Ethereum,ETH,ethereum,9078,2015-08-07T00:00:00.000Z,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'injective-ecosystem', 'layer-1', 'ftx-bankruptcy-estate']",,122276217.18384786,122276217.18384786,True,,2,,,,2024-06-22T10:14:00.000Z,3493.3322303243967,12696231580.547585,-21.5584,0.29146071,-0.35485828,-0.95536804,-8.63096526,10.08657734,3.69316879,427151450490.48157,18.2394,427151450490.48,,2024-06-22T10:14:00.000Z,,,,,,2024-06-22 12:16:09.399649
2,825,Tether USDt,USDT,tether,89309,2015-02-25T00:00:00.000Z,"['stablecoin', 'asset-backed-stablecoin', 'avalanche-ecosystem', 'solana-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem', 'fiat-stablecoin']",,112941691562.69733,116079124154.2462,True,,3,,,,2024-06-22T10:14:00.000Z,0.9993044712198214,43401880415.42104,-20.3676,-0.01297305,0.00538306,-0.00068132,-0.04954515,-0.1152316,-0.07236212,112863137365.73341,4.8202,115998387782.62,,2024-06-22T10:14:00.000Z,1027.0,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,2024-06-22 12:16:09.399649
3,1839,BNB,BNB,bnb,2186,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain', 'layer-1', 'sec-security-token', 'alleged-sec-securities', 'celsius-bankruptcy-estate']",,147566002.53657195,147566002.53657195,False,,4,,,,2024-06-22T10:14:00.000Z,587.0604681367945,1562859552.750581,-12.3116,0.21036395,0.29812877,-3.16047373,-4.07002682,-3.07872893,5.59027488,86630166530.19533,3.6998,86630166530.2,,2024-06-22T10:14:00.000Z,,,,,,2024-06-22 12:16:09.399649
4,5426,Solana,SOL,solana,690,2020-04-10T00:00:00.000Z,"['pos', 'platform', 'solana-ecosystem', 'cms-holdings-portfolio', 'kenetic-capital-portfolio', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'okx-ventures-portfolio', 'layer-1', 'ftx-bankruptcy-estate', 'sec-security-token', 'alleged-sec-securities', 'cmc-crypto-awards-2024']",,462002743.8079322,578616733.5247787,True,,5,,,,2024-06-22T10:14:00.000Z,134.3317154536405,1859512338.5595453,-14.4159,0.29112891,1.41152501,-6.17635235,-23.68067389,-12.94700333,-23.12053997,62061621120.008316,2.6506,77726578404.57,,2024-06-22T10:14:00.000Z,,,,,,2024-06-22 12:16:09.399649
5,3408,USDC,USDC,usd-coin,19839,2018-10-08T00:00:00.000Z,"['medium-of-exchange', 'stablecoin', 'asset-backed-stablecoin', 'coinbase-ventures-portfolio', 'hedera-hashgraph-ecosystem', 'fantom-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem', 'fiat-stablecoin']",,32748777283.76553,32748777283.76553,False,,6,,,,2024-06-22T10:14:00.000Z,0.9999023805084758,4665988004.862478,-17.1126,-0.01355924,-0.01091022,-0.00871445,-0.02871431,-0.0246902,-0.02026711,32745580364.77905,1.399,32745580364.78,,2024-06-22T10:14:00.000Z,1027.0,Ethereum,ETH,ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2024-06-22 12:16:09.399649
6,52,XRP,XRP,xrp,1342,2013-08-04T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'arrington-xrp-capital-portfolio', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio', 'ftx-bankruptcy-estate']",100000000000.0,55618185850.0,99987512072.0,False,,7,,,,2024-06-22T10:15:00.000Z,0.48529637675365134,881362023.8067615,-14.3246,0.16993719,-0.58958687,1.22672954,-7.74502739,-11.03168086,-23.17187338,26991304074.6162,1.1528,48529637675.37,,2024-06-22T10:15:00.000Z,,,,,,2024-06-22 12:16:09.399649
7,74,Dogecoin,DOGE,dogecoin,1009,2013-12-15T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'memes', 'payments', 'doggone-doggerel', 'bnb-chain', 'ftx-bankruptcy-estate']",,144812726383.7052,144812726383.7052,True,,8,,,,2024-06-22T10:15:00.000Z,0.12395053129388474,485549618.3575261,-28.8598,0.3721431,-0.49546105,-9.04790931,-25.47239691,-21.8229633,-27.99634157,17949614373.37622,0.7666,17949614373.38,,2024-06-22T10:15:00.000Z,,,,,,2024-06-22 12:16:09.399649
8,11419,Toncoin,TON,toncoin,430,2021-08-26T13:40:22.000Z,"['pos', 'layer-1', 'ftx-bankruptcy-estate', 'dwf-labs-portfolio', 'toncoin-ecosystem']",,2458194596.721018,5107945036.572143,True,,9,3414166606.0,24558005979.926445,,2024-06-22T10:14:00.000Z,7.19297234551138,229536451.09215277,-16.9214,-0.00680396,0.76749085,-10.63325697,11.52002917,26.92213831,46.36677738,17681725754.09978,0.7552,36741307390.46,,2024-06-22T10:14:00.000Z,,,,,,2024-06-22 12:16:09.399649
9,2010,Cardano,ADA,cardano,1197,2017-10-01T00:00:00.000Z,"['dpos', 'pos', 'platform', 'research', 'smart-contracts', 'staking', 'cardano-ecosystem', 'cardano', 'layer-1', 'sec-security-token', 'alleged-sec-securities']",45000000000.0,35739637951.589,36980576545.153,False,,10,,,,2024-06-22T10:14:00.000Z,0.3765494224271594,242821820.59113768,-12.865,0.39987845,-2.57151075,-8.30288643,-21.43489465,-27.39354639,-40.95801705,13457740028.426622,0.5746,16944724009.22,,2024-06-22T10:14:00.000Z,,,,,,2024-06-22 12:16:09.399649
10,5994,Shiba Inu,SHIB,shiba-inu,833,2020-08-01T00:00:00.000Z,"['memes', 'ethereum-ecosystem', 'doggone-doggerel']",,589271305284919.8,589519753442732.2,False,,11,,,,2024-06-22T10:14:00.000Z,1.8000469937886457e-05,238726077.22624314,-20.1692,0.36222126,-0.0131214,-12.96937962,-28.90993297,-32.99826379,-35.64356547,10607160416.04031,0.4529,10611632599.64,,2024-06-22T10:14:00.000Z,1027.0,Ethereum,ETH,ethereum,0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce,2024-06-22 12:16:09.399649
11,1958,TRON,TRX,tron,993,2017-09-13T00:00:00.000Z,"['media', 'payments', 'tron-ecosystem', 'layer-1', 'dwf-labs-portfolio', 'sec-security-token', 'alleged-sec-securities']",,87245317467.29118,87245325089.73541,True,,12,71659659264.0,8554211763.449287,,2024-06-22T10:14:00.000Z,0.1193727663696373,260182809.72903788,15.0766,0.16134908,1.9168208,3.78136153,1.13043734,6.39781223,1.86092746,10414714898.867786,0.4448,10414715808.78,,2024-06-22T10:14:00.000Z,,,,,,2024-06-22 12:16:09.399649
12,5805,Avalanche,AVAX,avalanche,747,2020-07-13T00:00:00.000Z,"['defi', 'smart-contracts', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'avalanche-ecosystem', 'cms-holdings-portfolio', 'dragonfly-capital-portfolio', 'moonriver-ecosystem', 'injective-ecosystem', 'real-world-assets', 'layer-1']",715748719.0,393736013.6185786,443082383.6185786,False,,13,,,,2024-06-22T10:14:00.000Z,25.15628824117559,508255282.7946961,109.6263,-0.23860725,-9.66607286,-16.21234043,-37.10768086,-34.420832,-53.16191146,9904936649.520401,0.4232,18005581083.42,,2024-06-22T10:14:00.000Z,,,,,,2024-06-22 12:16:09.399649
